id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20353	a,Dre Vanul Beholder\0	a,	9C	E8	A9	-1
20354	a,Dwarf Ghost\0	a,	9C	E8	A9	-1
20356	a,Langk Lizardman Leader\0	a,	9C	E8	A9	-1
20357	a,Langk Lizardman Lieutenant\0	a,	9C	E8	A9	-1
20358	a,Ratman Hunter\0	a,	9C	E8	A9	-1
20359	a,Ratman Warrior\0	a,	9C	E8	A9	-1
20360	a,Ratman Spy\0	a,	9C	E8	A9	-1
20361	a,Tunath Orc Marksman\0	a,	9C	E8	A9	-1
20362	a,Tunath Orc Warrior Captain\0	a,	9C	E8	A9	-1
20363	a,Maraku Werewolf\0	a,	9C	E8	A9	-1
20364	a,Maraku Werewolf Chieftain\0	a,	9C	E8	A9	-1
20365	a,Mountain Fungus\0	a,	9C	E8	A9	-1
20367	a,Merkenis' Escort\0	a,	9C	E8	A9	-1
20368	a,Graveyard Keeper\0	a,	9C	E8	A9	-1
20369	a,Moonstone Beast\0	a,	9C	E8	A9	-1
20370	a,Barbed Bat\0	a,	9C	E8	A9	-1
20371	a,Mist Terror\0	a,	9C	E8	A9	-1
20372	a,Baraq Orc Warrior\0	a,	9C	E8	A9	-1
20373	a,Baraq Orc Warrior Captain\0	a,	9C	E8	A9	-1
20374	a,Varangka's Guard\0	a,	9C	E8	A9	-1
20375	a,Varangka's Escort\0	a,	9C	E8	A9	-1
20376	a,Varika Brigand Leader\0	a,	9C	E8	A9	-1
20377	a,Varika's Bandit\0	a,	9C	E8	A9	-1
20378	a,Stone Giant\0	a,	9C	E8	A9	-1
20379	a,Stone Giant Soldier\0	a,	9C	E8	A9	-1
20380	a,Stone Giant Guardian\0	a,	9C	E8	A9	-1
20381	a,Vaiss Orc\0	a,	9C	E8	A9	-1
20382	a,Vaiss Orc Warrior Captain\0	a,	9C	E8	A9	-1
20383	a,Binding\0	a,	9C	E8	A9	-1
20385	a,Balor Orc Archer\0	a,	9C	E8	A9	-1
20386	a,Balor Orc Warrior\0	a,	9C	E8	A9	-1
20387	a,Balor Orc Warrior Captain\0	a,	9C	E8	A9	-1
20388	a,Balor Orc Warrior Lieutenant\0	a,	9C	E8	A9	-1
20389	a,Boogle Ratman\0	a,	9C	E8	A9	-1
20390	a,Boogle Ratman Captain\0	a,	9C	E8	A9	-1
20391	a,Red Fox\0	a,	9C	E8	A9	-1
20392	a,Red Eye Bat\0	a,	9C	E8	A9	-1
20393	a,Red Scavenger Spider\0	a,	9C	E8	A9	-1
20394	a,Crimson Tarantula\0	a,	9C	E8	A9	-1
20398	a,Vrykolakas\0	a,	9C	E8	A9	-1
20399	a,Vrykolakas Wolfkin\0	a,	9C	E8	A9	-1
20400	a,Blood Fungus\0	a,	9C	E8	A9	-1
20401	a,Veelan Bugbear\0	a,	9C	E8	A9	-1
20402	a,Veelan Bugbear Warrior\0	a,	9C	E8	A9	-1
20403	a,Hunter Tarantula\0	a,	9C	E8	A9	-1
20404	a,Silent Horror\0	a,	9C	E8	A9	-1
20405	a,Young Brown Fox\0	a,	9C	E8	A9	-1
20406	a,Young Red Fox\0	a,	9C	E8	A9	-1
20407	a,Young Crimson Fox\0	a,	9C	E8	A9	-1
20410	a,Scavenger Spider\0	a,	9C	E8	A9	-1
20411	a,Scavenger Bat\0	a,	9C	E8	A9	-1
20412	a,Susceptor\0	a,	9C	E8	A9	-1
20415	a,Scarlet Salamander\0	a,	9C	E8	A9	-1
20416	a,Scarlet Salamander Elder\0	a,	9C	E8	A9	-1
20418	a,Crystalline Beast\0	a,	9C	E8	A9	-1
20419	a,Akaste Succubus\0	a,	9C	E8	A9	-1
20420	a,Akaste Succubus Turen\0	a,	9C	E8	A9	-1
20421	a,Akaste Succubus Tilfo\0	a,	9C	E8	A9	-1
20422	a,Akaste Skeleton Prefect\0	a,	9C	E8	A9	-1
20423	a,Akaste Skeleton Archer\0	a,	9C	E8	A9	-1
20424	a,Akaste Skeleton Lord\0	a,	9C	E8	A9	-1
20425	a,Akaste Skeleton Warrior\0	a,	9C	E8	A9	-1
20426	a,Evil Eye\0	a,	9C	E8	A9	-1
20427	a,Evil Eye Watchman\0	a,	9C	E8	A9	-1
20428	a,Evil Eye Patrol\0	a,	9C	E8	A9	-1
20429	a,Evil Eye Lookout\0	a,	9C	E8	A9	-1
20431	a,Elf Ghost\0	a,	9C	E8	A9	-1
20432	a,Elpy\0	a,	9C	E8	A9	-1
20433	a,Festering Bat\0	a,	9C	E8	A9	-1
20435	a,Opal Beast\0	a,	9C	E8	A9	-1
20436	a,Ol Mahum Supplier\0	a,	9C	E8	A9	-1
20437	a,Ol Mahum Recruit\0	a,	9C	E8	A9	-1
20438	a,Ol Mahum General\0	a,	9C	E8	A9	-1
20439	a,Ol Mahum Sergeant\0	a,	9C	E8	A9	-1
20440	a,Elder Brown Fox\0	a,	9C	E8	A9	-1
20441	a,Elder Longtail Fox\0	a,	9C	E8	A9	-1
20442	a,Elder Wolf\0	a,	9C	E8	A9	-1
20443	a,Elder Red Fox\0	a,	9C	E8	A9	-1
20444	a,Elder Prairie Fox\0	a,	9C	E8	A9	-1
20445	a,Uthanka Pirate\0	a,	9C	E8	A9	-1
20446	a,Utuku Orc\0	a,	9C	E8	A9	-1
20447	a,Utuku Orc Archer\0	a,	9C	E8	A9	-1
20448	a,Utuku Orc Soldier\0	a,	9C	E8	A9	-1
20449	a,Will-O-Wisp\0	a,	9C	E8	A9	-1
20450	a,Relic Werewolf\0	a,	9C	E8	A9	-1
20451	a,Relic Spartoi\0	a,	9C	E8	A9	-1
20453	a,Human Ghost\0	a,	9C	E8	A9	-1
20454	a,Forgotten Watchman\0	a,	9C	E8	A9	-1
20455	a,Doom Soldier\0	a,	9C	E8	A9	-1
20456	a,Ashen Wolf\0	a,	9C	E8	A9	-1
20457	a,Zombie Soldier\0	a,	9C	E8	A9	-1
20458	a,Zombie Warrior\0	a,	9C	E8	A9	-1
20460	a,Crimson Spider\0	a,	9C	E8	A9	-1
20461	a,Dungeon Spider\0	a,	9C	E8	A9	-1
20462	a,Cave Blade Spider\0	a,	9C	E8	A9	-1
20463	a,Dungeon Skeleton Archer\0	a,	9C	E8	A9	-1
20464	a,Dungeon Skeleton Soldier\0	a,	9C	E8	A9	-1
20465	a,Prairie Fox\0	a,	9C	E8	A9	-1
20466	a,Pincer Spider\0	a,	9C	E8	A9	-1
20468	a,Kaboo Orc\0	a,	9C	E8	A9	-1
20469	a,Kaboo Orc Archer\0	a,	9C	E8	A9	-1
20470	a,Kaboo Orc Soldier\0	a,	9C	E8	A9	-1
20471	a,Kaboo Orc Warrior\0	a,	9C	E8	A9	-1
20472	a,Kaboo Orc Warrior Captain\0	a,	9C	E8	A9	-1
20473	a,Kaboo Orc Warrior Lieutenant\0	a,	9C	E8	A9	-1
20474	a,Kasha Spider\0	a,	9C	E8	A9	-1
20475	a,Kasha Wolf\0	a,	9C	E8	A9	-1
20476	a,Kasha Fang Spider\0	a,	9C	E8	A9	-1
20477	a,Kasha Timber Wolf\0	a,	9C	E8	A9	-1
20478	a,Kasha Blade Spider\0	a,	9C	E8	A9	-1
20479	a,Kasha Bear\0	a,	9C	E8	A9	-1
20480	a,Blade Bat\0	a,	9C	E8	A9	-1
20481	a,Bearded Keltir\0	a,	9C	E8	A9	-1
20483	a,Corpse Candle\0	a,	9C	E8	A9	-1
20487	a,Kuruka Ratman\0	a,	9C	E8	A9	-1
20488	a,Kuruka Ratman Hunter\0	a,	9C	E8	A9	-1
20489	a,Quicksilver Beast\0	a,	9C	E8	A9	-1
20490	a,Death Doll\0	a,	9C	E8	A9	-1
20491	a,Crypt Horror\0	a,	9C	E8	A9	-1
20492	a,Kirunak's Escort\0	a,	9C	E8	A9	-1
20494	a,Turek War Hound\0	a,	9C	E8	A9	-1
20495	a,Turek Orc Prefect\0	a,	9C	E8	A9	-1
20496	a,Turek Orc Archer\0	a,	9C	E8	A9	-1
20497	a,Turek Orc Skirmisher\0	a,	9C	E8	A9	-1
20498	a,Turek Orc Supplier\0	a,	9C	E8	A9	-1
20499	a,Turek Orc Footman\0	a,	9C	E8	A9	-1
20500	a,Turek Orc Sentinel\0	a,	9C	E8	A9	-1
